figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,17,2043,20,2.0,0.5,0.026325158410690323,0.019431089569811322,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,18,2044,20,2.0,0.5,0.027350989374767706,0.030286863325175963,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
