method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,88.0,0.2,40.362934527672046,40.362934527672046,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.225,45.345767628333,45.345767628333,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.25,50.28499590115623,50.28499590115623,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.275,55.25069249110066,55.25069249110066,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.3,60.28332064344885,60.28332064344885,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.325,65.22053486544233,65.22053486544233,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.35,70.2256085527227,70.2256085527227,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.375,75.20086452723194,75.20086452723194,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.4,80.19612939092762,80.19612939092762,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.425,85.1554184079999,85.1554184079999,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.45,90.16545737594474,90.16545737594474,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.475,95.14339189988117,95.14339189988117,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.5,100.13808048159754,100.13808048159754,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.525,105.15618843103834,105.15618843103834,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.55,110.12041904458015,110.12041904458015,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.575,115.14247068911574,115.14247068911574,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.6,120.10783343397894,120.10783343397894,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.625,125.11081894009679,125.11081894009679,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.65,130.10557194138323,130.10557194138323,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.675,135.09684589634898,135.09684589634898,200,200,1.0,1.0
